ISSUERID,IVA_COMPANY_RATING,IVA_RATING_DATE,IVA_INDUSTRY,IVA_PREVIOUS_RATING,IVA_RATING_TREND,INDUSTRY_ADJUSTED_SCORE,WEIGHTED_AVERAGE_SCORE,LAST_SCORE_UPDATE_DATE,ENVIRONMENTAL_PILLAR_SCORE,ENVIRONMENTAL_PILLAR_WEIGHT,ENVIRONMENTAL_PILLAR_QUARTILE,GOVERNANCE_PILLAR_SCORE,GOVERNANCE_PILLAR_WEIGHT,GOVERNANCE_PILLAR_QUARTILE,SOCIAL_PILLAR_SCORE,SOCIAL_PILLAR_WEIGHT,SOCIAL_PILLAR_QUARTILE,GICS_SUB_IND,CLIMATE_CHANGE_THEME_SCORE,CLIMATE_CHANGE_THEME_WEIGHT,BUSINESS_ETHICS_THEME_SCORE,CORPORATE_GOV_THEME_SCORE,ENVIRONMENTAL_OPPS_THEME_SCORE,ENVIRONMENTAL_OPPS_THEME_WEIGHT,HUMAN_CAPITAL_THEME_SCORE,HUMAN_CAPITAL_THEME_WEIGHT,NATURAL_RES_USE_THEME_SCORE,NATURAL_RES_USE_THEME_WEIGHT,WASTE_MGMT_THEME_SCORE,WASTE_MGMT_THEME_WEIGHT,PRODUCT_SAFETY_THEME_SCORE,PRODUCT_SAFETY_THEME_WEIGHT,SOCIAL_OPPS_THEME_SCORE,SOCIAL_OPPS_THEME_WEIGHT,STAKEHOLDER_OPPOSIT_THEME_SCORE,STAKEHOLDER_OPPOSIT_THEME_WEIGHT,E_WASTE_SCORE,E_WASTE_WEIGHT,E_WASTE_QUARTILE,FINANCING_ENV_IMP_SCORE,FINANCING_ENV_IMP_QUARTILE,FINANCING_ENV_IMP_WEIGHT,OPPS_CLN_TECH_SCORE,OPPS_CLN_TECH_QUARTILE,OPPS_CLN_TECH_WEIGHT,OPPS_GREEN_BUILDING_SCORE,OPPS_GREEN_BUILDING_QUARTILE,OPPS_GREEN_BUILDING_WEIGHT,OPPS_RENEW_ENERGY_SCORE,OPPS_RENEW_ENERGY_QUARTILE,OPPS_RENEW_ENERGY_WEIGHT,PACK_MAT_WASTE_SCORE,PACK_MAT_WASTE_WEIGHT,PACK_MAT_WASTE_QUARTILE,PROD_CARB_FTPRNT_SCORE,PROD_CARB_FTPRNT_QUARTILE,PROD_CARB_FTPRNT_WEIGHT,RAW_MAT_SRC_SCORE,RAW_MAT_SRC_QUARTILE,RAW_MAT_SRC_WEIGHT,TOXIC_EMISS_WSTE_SCORE,TOXIC_EMISS_WASTE_QUARTILE,TOXIC_EMISS_WSTE_WEIGHT,WATER_STRESS_SCORE,WATER_STRESS_QUARTILE,WATER_STRESS_WEIGHT,CORP_BEHAV_SCORE,CORP_BEHAV_QUARTILE,ACCESS_TO_COMM_SCORE,ACCESS_TO_COMM_QUARTILE,ACCESS_TO_COMM_WEIGHT,ACCESS_TO_FIN_SCORE,ACCESS_TO_FIN_QUARTILE,ACCESS_TO_FIN_WEIGHT,ACCESS_TO_HLTHCRE_SCORE,ACCESS_TO_HLTHCRE_QUARTILE,ACCESS_TO_HLTHCRE_WEIGHT,CHEM_SAFETY_SCORE,CHEM_SAFETY_QUARTILE,CHEM_SAFETY_WEIGHT,COMM_REL_SCORE,COMM_REL_QUARTILE,COMM_REL_WEIGHT,FIN_PROD_SAFETY_SCORE,FIN_PROD_SAFETY_QUARTILE,FIN_PROD_SAFETY_WEIGHT,CONTROV_SRC_SCORE,CONTROV_SRC_QUARTILE,CONTROV_SRC_WEIGHT,HLTH_SAFETY_SCORE,HLTH_SAFETY_QUARTILE,INS_HLTH_DEMO_RISK_WEIGHT,HLTH_SAFETY_WEIGHT,HUMAN_CAPITAL_DEV_SCORE,HUMAN_CAPITAL_DEV_QUARTILE,HUMAN_CAPITAL_DEV_WEIGHT,INS_HLTH_DEMO_RISK_SCORE,INS_HLTH_DEMO_RISK_QUARTILE,LABOR_MGMT_SCORE,LABOR_MGMT_QUARTILE,LABOR_MGMT_WEIGHT,OPPS_NUTRI_HLTH_SCORE,OPPS_NUTRI_HLTH_QUARTILE,OPPS_NUTRI_HLTH_WEIGHT,PRIVACY_DATA_SEC_SCORE,PRIVACY_DATA_SEC_QUARTILE,PRIVACY_DATA_SEC_WEIGHT,PROD_SFTY_QUALITY_SCORE,PROD_SFTY_QUALITY_QUARTILE,PROD_SFTY_QUALITY_WEIGHT,RESPONSIBLE_INVEST_SCORE,RESPONSIBLE_INVEST_QUARTILE,RESPONSIBLE_INVEST_WEIGHT,SUPPLY_CHAIN_LAB_SCORE,SUPPLY_CHAIN_LAB_QUARTILE,SUPPLY_CHAIN_LAB_WEIGHT,ACCOUNTING_SCORE,BOARD_SCORE,CORP_GOVERNANCE_SCORE,CORP_GOVERNANCE_QUARTILE,OWNERSHIP_AND_CONTROL_SCORE,PAY_SCORE,BUS_ETHICS_GOV_PILLAR_SD,BUS_ETHICS_PCTL_GLOBAL,BUS_ETHICS_PCTL_HOME,CORP_BEHAV_ETHICS_SCORE,CORP_BEHAV_GOV_PILLAR_SD,CORP_BEHAV_PCTL_GLOBAL,CORP_BEHAV_PCTL_HOME,TAX_TRANSP_GOV_PILLAR_SD,TAX_TRANSP_PCTL_GLOBAL,TAX_TRANSP_PCTL_HOME,ACCOUNTING_GOV_PILLAR_SD,ACCOUNTING_PCTL_GLOBAL,ACCOUNTING_PCTL_HOME,ASSESSMENT_CHANGE_DATE,BOARD_GOV_PILLAR_SD,BOARD_PCTL_GLOBAL,BOARD_PCTL_HOME,CORP_GOVERNANCE_GOV_PILLAR_SD,GOVERNANCE_PCTL_GLOBAL,GOVERNANCE_PCTL_HOME,OWNERSHIP_GOV_PILLAR_SD,OWNERSHIP_PCTL_GLOBAL,OWNERSHIP_PCTL_HOME,PAY_GOV_PILLAR_SD,PAY_PCTL_GLOBAL,PAY_PCTL_HOME,ESG_HEADLINE,IVA_RATING_ANALYSIS,BIODIV_LAND_USE_SCORE,BIODIV_LAND_USE_WEIGHT,CARBON_EMISSIONS_SCORE,CARBON_EMISSIONS_WEIGHT,INS_CLIMATE_CHG_RISK_SCORE,INS_CLIMATE_CHG_RISK_WEIGHT,ESG_OVERALL_QUARTILE,BIODIV_LAND_USE_QUARTILE,CARBON_EMISSIONS_QUARTILE,INS_CLIMATE_CHG_RISK_QUARTILE,CORP_BEHAV_TAX_TRANSP_SCORE,Industry,CompanyName
IID000000002124678,AAA,20220623,Telecommunication Services,AAA,0.0,9.8,7.3,20220722.0,10.0,5,3,5.8,39,2,8.1,56,1,Wireless Telecommunication Services,10.0,5.0,6.8,6.2,,,7.4,23.0,8.2,0.0,,,8.5,28.0,9.0,5.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,,,0.0,8.2,2.0,0.0,6.8,1,9.0,1.0,5.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,5.9,3.0,0.0,,,7.4,2.0,23.0,,,0.0,8.5,1.0,28.0,,,0.0,,,0.0,,,0.0,10.0,4.8,6.2,2,9.3,7.3,-1.3,67,67,6.7,-1.3,67,67,0.0,100,100,0.0,100,100,20211026,-2.34375,18,27,-3.0,51,79,-0.15625,91,100,-0.46875,75,90,Robust practices to help manage ESG risks,"KDDI's rating is unchanged at 'AAA'. With ~60 million mobile subscribers (FY 2021), KDDI has access to large volumes of user data and is thus exposed to risks tied to consumer data privacy; more so, as it derived the bulk of its FY 2021 revenue from Japan, where stricter data privacy laws were implemented in April 2022. Like leading peers, KDDI has strong data protection practices such as external audits of IT security systems and ISO 27001 certification. KDDI's corporate governance is above-par relative to its peers in Japan.KDDI operates in the labor-intensive telecom industry; yet, it has limited exposure to labor-related risks as ILO data suggests the likelihood of labor unrest is low in Japan--KDDI's core market. Its labor management initiatives are on par with those of industry peers and include non-pay benefits and upskilling programs. Yet, since March 2021, KDDI has faced a lawsuit filed by a former employee of subsidiary KDDI Evolva alleging wrongful termination.KDDI follows the one share one vote principle, aligning shareholders' voting rights with economic exposure. Like most peers in Japan though, its board is not majority independent, which may limit independent management oversight. Also, KDDI has a detailed policy against corruption, which is reinforced through executive-level oversight. However, since February 2021, it has faced NGO scrutiny over alleged indirect involvement in human rights violations due to restrictions ordered by Myanmar's military on telecom firms in the country; this weighs on KDDI's governance assessment.",,0.0,10.0,5.0,,0.0,1.0,,3.0,,10.0,Other,Leisure Products Developments
IID000000002124680,A,20221027,Utilities,BB,2.0,6.5,6.0,20221129.0,7.8,21,2,5.0,50,3,6.5,29,2,Gas Utilities,7.8,21.0,7.3,4.9,,,6.5,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.3,2,,,,,,,,,,,,,,,,,,,,,,6.5,3.0,,29.0,2.5,4.0,0.0,,,,,,,,,,,,,,,,,,,,,10.0,6.6,4.9,4,5.9,1.4,-1.1,82,84,7.2,-1.1,82,84,0.0,100,100,0.0,100,100,20230112,-1.5625,41,70,-4.0,25,40,-0.9375,37,22,-1.484375,17,46,,"SAIBU GAS HOLDINGS has been upgraded to 'A' from 'BB'. The removal of the key metrics derived from accounting ratios (Asset-Liability Valuation) in the Governance assessment is a key contributor to the company's upgrade due to its relatively low accounting risk compared to global and home market peers. Further, on corporate behavior, we found evidence of improved disclosures on policies against corruption and bribery. Saibu Gas is above average relative to peers in mitigating carbon emissions.As a natural gas distributor, Saibu Gas has moderate exposure to risks related to evolving carbon regulations compared with fossil fuel generators. In line with Japan's emission reduction target of 46% by 2030 (vs. 2013 levels), the company plans to achieve carbon neutrality by 2050 with efforts to transition to carbon-free fuels such as methane and hydrogen.Operations in Japan, where historical data indicates low incidence of workplace accidents, suggest low exposure to risks of operational disruptions. Like leading peers, Saibu Gas's health and safety initiatives include a groupwide safety policy; also, it has mandated a risk officer to oversee its strategy and performance. While the company has set targets to reduce accidents, it seems to lack certification on internationally recognized standards, such as OHSAS 18001.",,0.0,7.8,21.0,,,2.0,,2.0,,10.0,Utilities,Diversified Chemicals Enterprises
IID000000002124685,AAA,20220224,Commodity Chemicals,AA,1.0,10.0,6.1,20221025.0,6.7,56,1,5.5,33,1,5.2,11,1,Commodity Chemicals,7.9,15.0,7.4,5.6,5.8,11.0,7.7,0.0,5.7,15.0,7.2,15.0,5.2,11.0,,,,,,,,,,,5.8,1.0,11.0,,,,,,,,,,,,,,,,7.2,1.0,15.0,5.7,1.0,15.0,7.4,1,,,,,,,,,,5.2,1.0,11.0,,,,,,,,,,,,,,7.7,1.0,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,8.2,7.4,5.6,2,7.6,1.4,-1.0,84,85,7.3,-1.0,84,86,0.0,100,100,-0.234375,13,19,20210624,-1.171875,58,91,-3.4,38,63,-0.546875,58,39,-1.484375,17,46,Strong performance across ESG Key Issues,"Teijin has been upgraded to 'AAA' from 'AA'. The inclusion of the Corporate Behavior Theme in the company's Governance assessment is a key contributor to the upgrade due to the company's strong business ethics policies and practices relative to peers. Teijin adopts a formal anti-corruption policy and has ethics trainings for all its employees. Further, the company leads home-market peers on corporate governance practices. Teijin's chairman is independent--a feature noted in only 4% of companies in our Japan coverage.With 41% of its FY 2020 operations in Japan--a country that targets to be carbon neutral by 2050--Teijin is exposed to risks of potential compliance costs. The company strengthened its carbon mitigation measures, with a new target to reduce CO2 emissions by 20% by 2030 (vs. 2018 levels). Its GHG intensity (181 tCO2e/USD million) remained lower than the average of 919 for Commodity Chemicals sub-industry (constituents of MSCI ACWI Index), as of February 2022.Teijin's presence in markets with stringent chemical regulations, such as Japan and the US (70% of FY 2020 revenue), exposes it to potential reformulation costs. Its chemical management practices, which include lifecycle assessment of its synthetic fiber products, seem robust.The inclusion of regional groundwater availability in our evaluation of water stress in Japan and the US resulted in a lower risk assessment for Teijin. Its water management is supervised at the executive level--an industry best practice. Also, the withdrawal intensity declined at 3.8% (CAGR, FY 2017-20).",,,7.9,15.0,,,1.0,,1.0,,10.0,Materials,Tobacco Enterprises
IID000000002124910,B,20221110,Real Estate Management & Services,B,0.0,2.2,4.4,20221125.0,3.9,31,4,6.6,44,2,1.2,25,4,Diversified REITs,7.1,,6.7,7.3,3.9,31.0,1.2,25.0,,,,,,,,,,,,,,,,,,,,3.9,4.0,31.0,,,,,,,,,,,,,,,,,,,6.7,4,,,,,,,,,,,,,,,,,,,,,,,,,,1.2,4.0,25.0,,,,,,,,,,,,,,,,,,,,,6.5,7.6,7.3,2,9.1,7.7,-1.3,67,78,6.6,-1.3,67,78,0.0,100,100,-0.46875,5,7,20211118,-1.09375,62,57,-2.1,75,74,-0.1953125,79,93,-0.390625,86,99,,"Axis REIT's rating is unchanged at 'B'. Axis REIT's corporate governance practices are average relative to those of global peers. The board may still be considered entrenched, with 5 of 9 directors having had tenures of more than 15 years (2022 AGM); this may negatively impact management oversight. On the upside, following the appointment of two new directors, its board has an independent majority. Further, we note improvements in the company's executive pay disclosures; this may align with investor interests.Real estate investment trusts typically rely on a skilled workforce, and could, thus, face recruitment and retention challenges. The company relies on its fund manager, Axis REIT Managers Berhad, for its human capital requirements. While the fund manager offers staff benefits, and undertakes performance appraisals, it appears to lack employee management programs such as annual engagement surveys and stock options.The company is focused on warehouses (FY 2021: 92.4% of operations); this provides it with relatively low green investment opportunities, as these properties are not as energy intensive as office and retail properties. Nevertheless, the company's sustainability initiatives are average relative to those of peers, and include upgrading air conditioning and plumbing systems, and leasing of roof spaces to tenants for solar panel installation. However, it appears to lack green building certifications for a majority of its portfolio, thus trailing peers.",,,7.1,,,,4.0,,4.0,,10.0,Real Estate,Health Care Providersand Services Consulting
IID000000002124974,AA,20211125,Health Care Providers & Services,AA,0.0,8.1,6.5,20221021.0,7.4,5,3,7.4,35,1,5.9,60,2,Health Care Services,7.4,5.0,6.3,8.5,,,3.7,20.0,,0.0,,,7.0,40.0,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,6.3,2,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,3.6,3.0,0.0,,,3.7,3.0,20.0,,,0.0,6.4,2.0,15.0,7.4,2.0,25.0,,,0.0,,,0.0,10.0,8.4,8.5,1,9.5,8.2,-1.4,53,23,6.2,-1.4,53,23,0.0,100,100,0.0,100,100,20210617,-0.7421875,77,46,-1.2,95,71,-0.1171875,94,83,-0.3125,91,82,,"Healius' rating is unchanged at 'AA'. Methodology enhancements to the Corporate Behavior Theme resulted in greater emphasis on business ethics practices and on exposure to corruption-related risks. Healius operates in Australia, where incidence of corruption is perceived to be low. Healius is on par with peers in ethics practices: it has a detailed anti-corruption policy and whistleblower protection. It is also on par with global and home market peers in corporate governance. Plus, we note improvements in its data security programs.As a diagnostic service provider, Healius collects patient data. The company could thus face risks associated with potential data breach or misuse. Its data security programs lead those of peers. Our research found ISO 27001 certification and privacy provisions related to user rights on personal data.Healius' operations may present risks related to service quality issues. The company's programs to mitigate such risks appear on par with those of peers: evidence indicates it monitors quality performance through customer engagement measures. We note no regulatory warning in the last three years, as of October 2021.ILO data suggests likelihood of labor unrest is high in Australia (100% revenues; FY 2020). However, Healius' labor management programs lag those of leading peers. While we note 90% of its workforce is covered by trade unions, its training and career development programs appear available to select employees only.",,0.0,7.4,5.0,,0.0,1.0,,3.0,,10.0,Healthcare,Public Relations Technologies
IID000000002124981,B,20220826,Utilities,CCC,1.0,2.8,4.1,20221122.0,4.5,54,4,3.4,33,4,4.5,13,4,Electric Utilities,5.0,14.0,5.2,3.9,1.8,13.0,4.5,13.0,4.6,14.0,6.5,13.0,,,,,,,,0.0,,,,0.0,,,0.0,,,0.0,1.8,4.0,13.0,,0.0,,,,0.0,,,0.0,6.5,2.0,13.0,4.6,4.0,14.0,5.2,3,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,4.5,3.0,13.0,,,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,7.5,3.9,4,7.4,5.9,-1.9,29,56,5.1,-1.9,30,61,0.0,100,100,-2.34375,0,0,20220816,-1.118359375,60,75,-4.8,12,11,-0.5859375,54,41,-0.703125,49,31,,"RInfra has been upgraded to 'B' from 'CCC'. We note improvements in RInfra's corporate governance. The company underwent a recent change in board composition that replaced a flagged director (Mr. Anil Ambani). As of April 2022, its board was no longer flagged as entrenched and was assessed as having an independent majority; these could improve management oversight. These led to the upgrade. Yet, RInfra still lags global peers in accounting practices. Its external auditor has provided a qualified opinion for the last three financial years.Exclusive operations in India could expose RInfra to water availability risks, as water stress in the region is high (Source: WRI Aqueduct). A significant portion of RInfra's operations is in electric transmission and distribution (T&D: 31%), where water use is less critical than for peers heavily relying on cooling water for their thermal energy generation. That said, in line with industry best practices, a board committee oversees RInfra's water management practices.Unlike pureplay fossil fuel-based power generation companies, RInfra's operations in electric T&D reduces the company's exposure to regulatory risks tied to toxic emissions. Nevertheless, its operations are certified to ISO 14001 standards.As is common in the utilities industry, RInfra relies on a skilled workforce for its operations, exposing it to talent-related challenges. Yet, it lags peers in human capital management. We found limited evidence of practices such as performance appraisals and incentive pay offerings to bolster employee productivity.",,0.0,5.0,14.0,,0.0,4.0,,4.0,,10.0,Utilities,Cybersecurity Solutions Systems
IID000000002124998,AA,20220628,Health Care Providers & Services,AA,0.0,7.8,6.3,20221118.0,8.0,5,3,7.3,35,1,5.5,60,3,Health Care Facilities,8.0,5.0,5.9,8.7,,,2.5,20.0,8.9,0.0,,,7.0,40.0,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,,,0.0,8.9,1.0,0.0,5.9,2,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,2.5,4.0,0.0,,,2.5,4.0,20.0,,,0.0,4.0,4.0,20.0,10.0,1.0,20.0,,,0.0,,,0.0,9.4,8.3,8.7,1,9.5,9.5,-1.6,44,17,5.8,-1.6,44,17,0.0,100,100,-0.078125,44,77,20221018,-0.78125,76,44,-1.1,96,78,-0.1171875,94,83,-0.078125,100,100,Strong service quality management and governance performance,"Ramsay's rating is unchanged at 'AA'. We have revised our evaluation of exposure to service quality risks by removing a company-specific component which was based on the size of operations. This has resulted in a decrease in Ramsay's overall risk exposure. It leads peers in quality management: it has Joint Commission International certification for select facilities, and initiatives to collect customer feedback. We note no regulatory warnings in the three years through May 2022. It is on par with peers on governance performance.Around 58% of Ramsay's operations were in Europe in FY 2021 where frequency of corruption is perceived to be low. Its business ethics framework is on par with that of global peers and features whistleblower protection. Likewise, its pay practices lead those of global peers and appear in line with shareholders' interest.As a provider of healthcare services, Ramsay handles sensitive information of patients. We note practices such as internal audits of data security systems and employee training on data security for its European operations. However, Ramsay's data security system appears to lag that of better-performing peers. The company disclosed 50 notifiable breaches of patient privacy in 2020 and 2021.Healthcare facilities' operations are typically labor-intensive. Thus, like peers, Ramsay may be exposed to potential work disruptions in case of labor unrest. Its labor management is on par with that of peers, with most employees covered by collective bargaining agreements.",,0.0,8.0,5.0,,0.0,1.0,,3.0,,10.0,Healthcare,Global Enterprises Ventures
IID000000002125001,A,20220505,Food Products,A,0.0,6.7,4.9,20230113.0,3.3,37,3,7.1,33,1,4.5,30,3,Agricultural Products,6.5,11.0,6.9,7.8,,,4.8,18.0,2.0,26.0,,,,,,,4.1,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4,4.0,13.0,6.9,2,,,,,,,,,,,,,4.1,3.0,12.0,,,,,,,5.3,1.0,,6.0,,,,,,,,,,,,,,,,,,,,,4.6,2.0,12.0,9.4,8.0,7.8,1,9.5,6.4,-1.2,71,44,6.8,-1.2,71,44,0.0,100,100,-0.078125,44,77,20211111,-0.8984375,70,35,-1.7,85,34,-0.1171875,94,83,-0.625,56,30,,"Ridley's rating is unchanged at 'A'. Ridley continues to lead global peers in governance practices. However, we do note some shareholder dissatisfaction with the former CEO on board at the 2021 AGM. The company's health and safety (H&S) management systems and performance is above average relative to industry peers. Ridley, however, appears to have limited initiatives to promote water sustainability across its value chain. This may expose it to higher input costs, given that cereal grains require substantial water.Nevertheless, our research indicates Ridley's board and key committees have the requisite independence to provide oversight aligned with the best interests of shareholders. The company also has a detailed policy against corruption and bribery. However, it appears to lack compliance mechanisms such as periodic audits and employee training on ethical standards.Like leading peers, Ridley has a group-wide H&S policy reinforced with regular performance audits. In addition, its total recordable injury rate has remained lower than that of peers (5.5 per million hours in 2021 vs. industry median of 16 as of August 2021). Nevertheless, we note it has yet to certify operations to widely recognized H&S standards, such as OHSAS 18001.Evidence suggests Ridley lacks water use reduction targets and efficiency measures, especially in its supply chain, where the bulk of its water footprint lies. This may limit its ability to mitigate risks of increased input costs in case of water shortage along its value chain.",3.6,13.0,6.5,11.0,,,2.0,1.0,4.0,,10.0,Consumer Goods,Telemedicine LLC
IID000000002125002,AAA,20221128,Health Care Providers & Services,AA,1.0,10.0,7.6,20220812.0,8.3,5,2,7.9,67,1,6.9,28,1,Health Care Distributors,8.3,5.0,7.6,8.5,,,6.9,0.0,,0.0,,,6.9,28.0,,,,,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,7.6,1,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,0.0,6.9,1.0,0.0,,,,,0.0,,,0.0,,,0.0,6.9,3.0,28.0,,,0.0,,,0.0,9.4,8.3,8.5,1,9.5,8.6,-0.9,87,70,7.6,-0.9,87,70,0.0,100,100,-0.078125,44,77,20220714,-0.78125,76,44,-1.2,94,69,-0.1171875,94,83,-0.234375,97,94,,"Sigma Healthcare has been upgraded to 'AAA' from 'AA'. Sigma Healthcare leads most global peers in governance practices with notable improvement in its board and pay structures. Its board has an independent majority with separate CEO and chair roles. Further, Sigma Healthcare's board no longer includes overboarded directors as of August 2022; this may help bolster management oversight. Recent changes in the company's executive pay policies may help allay shareholder concerns surrounding its pay practices.Our research found that the company leads most peers in business ethics practices. Given the nature of its business operations which may involve multiple touchpoints with the government for approvals, Sigma Healthcare could face corruption-related risk. We found robust measures to mitigate these risks such as whistleblower protection and detailed policies against bribery and corruption.As a distributor of pharmaceutical and other healthcare products intended for human use, the company faces moderate exposure to product recalls in case of product quality issues. Yet, we did not find evidence of regulatory recalls and warnings in the three years through October 2022. We found no evidence of regulatory recalls and warnings as of October 2022. However, we note that unlike leading peers, the company appears to lack product safety-related best practices such as dedicated policies and employee trainings on responsible marketing practices.",,0.0,8.3,5.0,,0.0,1.0,,3.0,,10.0,Healthcare,Airlines Corporation
IID000000002125006,BBB,20220426,Metals and Mining - Precious Metals,BBB,0.0,5.7,4.7,20230117.0,2.1,34,4,7.6,33,1,4.3,33,3,Gold,2.7,0.0,7.3,8.3,,,4.9,24.0,2.4,22.0,1.7,12.0,,,,,3.0,9.0,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,1.7,4.0,12.0,2.9,4.0,10.0,7.3,1,,,0.0,,,0.0,,,0.0,,,0.0,3.0,4.0,9.0,,,0.0,,,0.0,5.4,2.0,0.0,12.0,3.7,3.0,0.0,,,4.3,4.0,12.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,10.0,9.7,8.3,2,8.8,4.5,-1.1,82,61,7.2,-1.1,82,61,0.0,100,100,0.0,100,100,20221114,-0.15625,99,94,-1.4,92,58,-0.2734375,73,32,-0.9375,35,7,,"Ramelius' rating is unchanged at 'BBB'. Ramelius continues to lead global and Australian peers on corporate governance, particularly board and ownership structure. Further, its business ethics policies and practices appear relatively strong compared to those of its peers. However, our research indicates the company lags peers in adopting a strong strategy to mitigate potential adverse impacts of its gold mining operations on the environment.Ramelius' ownership structure appears to support parity in voting rights across all investors. Besides, it has a majority independent board and fully independent key committees (nomination, audit, risk, pay); this may help bolster management oversight. Additionally, the company's business ethics framework is supported by a detailed policy against bribery and corruption, and by legal protection for whistleblowers.Ramelius may face risk of incurring environmental liabilities linked to toxic emissions and waste byproducts. Yet, we found no evidence of an ISO 14001-certified environmental management system. The lack of disclosure on its emissions data also impedes comparison with peers.The extractive nature of Ramelius' business could pose regulatory risks in case of public opposition if its operations cause disturbance to local communities. Yet, unlike with better-performing peers, we found no evidence of community impact assessments and formal grievance channels--measures that could help manage risks related to community conflict.",1.9,12.0,2.7,0.0,,0.0,2.0,3.0,4.0,,10.0,Materials,Health Care Equipmentand Supplies International
IID000000002125010,BB,20220526,Metals and Mining - Precious Metals,BB,0.0,3.8,4.1,20221118.0,0.6,34,4,7.4,33,2,4.4,33,3,Gold,3.2,0.0,7.3,8.0,,,4.9,24.0,1.0,22.0,0.0,12.0,,,,,3.2,9.0,,0.0,,,,0.0,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,,,0.0,0.0,4.0,12.0,1.0,4.0,10.0,7.3,1,,,0.0,,,0.0,,,0.0,,,0.0,3.2,4.0,9.0,,,0.0,,,0.0,6.0,2.0,0.0,12.0,4.9,3.0,0.0,,,3.8,4.0,12.0,,,0.0,,,0.0,,,0.0,,,0.0,,,0.0,9.4,9.5,8.0,2,8.8,4.5,-1.1,82,61,7.2,-1.1,82,61,0.0,100,100,-0.078125,44,77,20220616,-0.234375,97,90,-1.5,89,48,-0.2734375,73,32,-0.9375,35,7,,"Regis Resources' rating is unchanged at 'BB'. The company continues to lag peers in mitigating environmental risks tied to its gold mining and development operations, particularly on water and waste management. While Regis Resources conducts environmental audits, we found no evidence of an ISO 14001-certified environmental management system. On the upside, the company leads most of its global peers on governance performance.Gold mining operations are generally water-intensive, and could thus pose risks of increased input costs and operational disruptions in case of water shortages. Yet, Regis Resources continues to trail peers in adopting strong water management programs, such as conducting risk assessments and setting water reduction targets.Mining activities may pose the risk of conflict with local communities in the event of disturbances from operations. Regis Resources has policies for indigenous people and programs for community development and local hiring. However, unlike with peers, we found no evidence of a formal grievance channel and human rights performance monitoring and training initiatives.Regis Resources has a majority independent board with an independent chair; this may help bolster management oversight. It also has a 'one share one vote' policy, aligning shareholders' economic exposure with voting power. The company's business ethics framework has board-level oversight and a detailed anti-corruption policy.",1.0,12.0,3.2,0.0,,0.0,3.0,4.0,4.0,,10.0,Materials,Metals and Mining Technologies
